pair_id,content_id,style_id,content_path,style_path
content_test_0001__style_0001,content_test_0001,style_0001,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0001.jpg
content_test_0001__style_0002,content_test_0001,style_0002,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0002.jpg
content_test_0001__style_0003,content_test_0001,style_0003,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0003.jpg
content_test_0001__style_0004,content_test_0001,style_0004,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0004.jpg
content_test_0001__style_0005,content_test_0001,style_0005,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0005.jpg
content_test_0001__style_0006,content_test_0001,style_0006,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0006.jpg
content_test_0001__style_0007,content_test_0001,style_0007,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0007.jpg
content_test_0001__style_0008,content_test_0001,style_0008,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0008.jpg
content_test_0001__style_0009,content_test_0001,style_0009,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0009.jpg
content_test_0001__style_0010,content_test_0001,style_0010,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0010.jpg
content_test_0001__style_0011,content_test_0001,style_0011,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0011.jpg
content_test_0001__style_0012,content_test_0001,style_0012,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0012.jpg
content_test_0001__style_0013,content_test_0001,style_0013,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0013.jpg
content_test_0001__style_0014,content_test_0001,style_0014,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0014.jpg
content_test_0001__style_0015,content_test_0001,style_0015,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0015.jpg
content_test_0001__style_0016,content_test_0001,style_0016,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0016.jpg
content_test_0001__style_0017,content_test_0001,style_0017,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0017.jpg
content_test_0001__style_0018,content_test_0001,style_0018,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0018.jpg
content_test_0001__style_0019,content_test_0001,style_0019,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0019.jpg
content_test_0001__style_0020,content_test_0001,style_0020,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0020.jpg
content_test_0001__style_0021,content_test_0001,style_0021,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0021.jpg
content_test_0001__style_0022,content_test_0001,style_0022,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0022.jpg
content_test_0001__style_0023,content_test_0001,style_0023,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0023.jpg
content_test_0001__style_0024,content_test_0001,style_0024,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0024.jpg
content_test_0001__style_0025,content_test_0001,style_0025,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0025.jpg
content_test_0001__style_0026,content_test_0001,style_0026,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0026.jpg
content_test_0001__style_0027,content_test_0001,style_0027,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0027.jpg
content_test_0001__style_0028,content_test_0001,style_0028,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0028.jpg
content_test_0001__style_0029,content_test_0001,style_0029,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0029.jpg
content_test_0001__style_0030,content_test_0001,style_0030,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0030.jpg
content_test_0001__style_0031,content_test_0001,style_0031,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0031.jpg
content_test_0001__style_0032,content_test_0001,style_0032,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0032.jpg
content_test_0001__style_0033,content_test_0001,style_0033,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0033.jpg
content_test_0001__style_0034,content_test_0001,style_0034,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0034.jpg
content_test_0001__style_0035,content_test_0001,style_0035,data/content/test/content_test_0001.jpg,data/ChinesePaperCutting/style_0035.jpg
